tconst	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	tags
tt0004972	0	1915	195	Drama,War	6.1	nm0000428	nm0228746,nm0000428,nm0940488,nm0934306,nm16280870,nm16280871	
tt0006333	0	1916	105	Action,Adventure,Sci-Fi	6.1	nm0665737	nm0894523,nm0665737	
tt0006864	0	1916	163	Drama,History	7.7	nm0000428	nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488	
tt0010040	0	1919	85	Comedy,Drama	6.6	nm0624714	nm0916914,nm0426515	
tt0010323	0	1920	67	Horror,Mystery,Thriller	8.0	nm0927468	nm0562346,nm0417917	
tt0012349	0	1921	68	Comedy,Drama,Family	8.2	nm0000122	nm0000122	orphans
tt0013442	0	1922	94	Fantasy,Horror	7.8	nm0003638	nm0831290,nm0301961	vampires
tt0014142	0	1923	133	Drama,Horror,Romance	7.2	nm0941637	nm0401076,nm0790622,nm0522871,nm0730929	
tt0014341	0	1923	65	Comedy,Romance,Thriller	7.7	nm0090007,nm0000036	nm0369841,nm0115669,nm0593477	in netflix queue
tt0014429	0	1923	74	Action,Comedy,Thriller	8.1	nm0628345,nm0853130	nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001	clock
tt0014624	0	1923	82	Drama,Romance	6.9	nm0000122	nm0000122	
tt0014646	0	1924	111	Adventure,Comedy,Drama	6.3	nm0698839	nm0265777,nm0652974,nm0866238	
tt0015163	0	1924	59	Action,Adventure,Comedy	7.5	nm0187981,nm0000036	nm0115669,nm0593477,nm0369841	
tt0015324	0	1924	45	Action,Comedy,Romance	8.2	nm0000036	nm0369841,nm0593477,nm0115669	
tt0015400	0	1924	155	Adventure,Family,Fantasy	7.7	nm0909825	nm0940689,nm0001196,nm0008280,nm0640884	
tt0015648	0	1925	66	Drama,History,Thriller	7.9	nm0001178	nm0012810,nm0001178,nm0017893,nm0038595,nm0872308	
tt0015841	0	1925	77	Comedy,Family,Romance	7.5	nm0628345,nm0853130	nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001	
tt0015864	0	1925	95	Adventure,Comedy,Drama	8.1	nm0000122	nm0000122	mining
tt0015881	0	1924	140	Drama,Thriller,Western	8.0	nm0002233	nm0558923,nm0002233,nm0635805,nm0267868	gold
tt0016641	0	1925	143	Action,Adventure,Drama	7.8	nm0629243,nm0102643,nm0127511,nm0169905,nm0002271	nm0908753,nm0558923,nm0933133,nm0385012,nm0129721	
tt0016847	0	1926	107	Drama,Fantasy,Horror	8.1	nm0003638	nm0369458,nm0477515,nm0324473	in netflix queue
tt0017075	0	1927	92	Crime,Drama,Mystery	7.3	nm0000033	nm0523269,nm0822627,nm0000033	
tt0017136	0	1927	153	Drama,Sci-Fi	8.3	nm0000485	nm0902376,nm0000485	
tt0017271	0	1926	80	Action,Drama,Mystery	7.6	nm0474487	nm0474487,nm0518711,nm0794531	
tt0017416	0	1926	68	Adventure,Drama,Romance	6.6	nm0280463	nm0401423,nm0547966,nm0208691,nm0547938,nm0809548	
tt0017739	0	1927	108	Comedy,Horror,Mystery	7.0	nm0501902	nm0929616,nm0384616,nm0169879,nm0031033,nm0002771	
