tconst	primaryTitle	genres	isAdult	averageRating	directors	writers
tt0004972	The Birth of a Nation	Drama,War	0	6.1	nm0000428	nm0228746,nm0000428,nm0940488,nm0934306,nm16280870,nm16280871
tt0006333	20,000 Leagues Under the Sea	Action,Adventure,Sci-Fi	0	6.1	nm0665737	nm0894523,nm0665737
tt0006864	Intolerance	Drama,History	0	7.7	nm0000428	nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488
tt0010040	Daddy-Long-Legs	Comedy,Drama	0	6.6	nm0624714	nm0916914,nm0426515
tt0010323	The Cabinet of Dr. Caligari	Horror,Mystery,Thriller	0	8.0	nm0927468	nm0562346,nm0417917
tt0012349	The Kid	Comedy,Drama,Family	0	8.2	nm0000122	nm0000122
tt0013442	Nosferatu: A Symphony of Horror	Fantasy,Horror	0	7.8	nm0003638	nm0831290,nm0301961
tt0014142	The Hunchback of Notre Dame	Drama,Horror,Romance	0	7.2	nm0941637	nm0401076,nm0790622,nm0522871,nm0730929
tt0014341	Our Hospitality	Comedy,Romance,Thriller	0	7.7	nm0090007,nm0000036	nm0369841,nm0115669,nm0593477
tt0014429	Safety Last!	Action,Comedy,Thriller	0	8.1	nm0628345,nm0853130	nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001
tt0014624	A Woman of Paris: A Drama of Fate	Drama,Romance	0	6.9	nm0000122	nm0000122
tt0014646	Aelita, the Queen of Mars	Adventure,Comedy,Drama	0	6.3	nm0698839	nm0265777,nm0652974,nm0866238
tt0015163	The Navigator	Action,Adventure,Comedy	0	7.5	nm0187981,nm0000036	nm0115669,nm0593477,nm0369841
tt0015324	Sherlock Jr.	Action,Comedy,Romance	0	8.2	nm0000036	nm0369841,nm0593477,nm0115669
tt0015400	The Thief of Bagdad	Adventure,Family,Fantasy	0	7.7	nm0909825	nm0940689,nm0001196,nm0008280,nm0640884
tt0015648	Battleship Potemkin	Drama,History,Thriller	0	7.9	nm0001178	nm0012810,nm0001178,nm0017893,nm0038595,nm0872308
tt0015841	The Freshman	Comedy,Family,Romance	0	7.5	nm0628345,nm0853130	nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001
tt0015864	The Gold Rush	Adventure,Comedy,Drama	0	8.1	nm0000122	nm0000122
tt0015881	Greed	Drama,Thriller,Western	0	8.0	nm0002233	nm0558923,nm0002233,nm0635805,nm0267868
tt0016641	Ben-Hur: A Tale of the Christ	Action,Adventure,Drama	0	7.8	nm0629243,nm0102643,nm0127511,nm0169905,nm0002271	nm0908753,nm0558923,nm0933133,nm0385012,nm0129721
tt0016847	Faust	Drama,Fantasy,Horror	0	8.1	nm0003638	nm0369458,nm0477515,nm0324473
tt0017075	The Lodger: A Story of the London Fog	Crime,Drama,Mystery	0	7.3	nm0000033	nm0523269,nm0822627,nm0000033
tt0017136	Metropolis	Drama,Sci-Fi	0	8.3	nm0000485	nm0902376,nm0000485
tt0017271	By the Law	Action,Drama,Mystery	0	7.6	nm0474487	nm0474487,nm0518711,nm0794531
tt0017416	The Son of the Sheik	Adventure,Drama,Romance	0	6.6	nm0280463	nm0401423,nm0547966,nm0208691,nm0547938,nm0809548
tt0017739	The Cat and the Canary	Comedy,Horror,Mystery	0	7.0	nm0501902	nm0929616,nm0384616,nm0169879,nm0031033,nm0002771
tt0017765	College	Comedy,Drama,Sport	0	6.9	nm0395023,nm0000036	nm0361882,nm0289381
tt0017925	The General	Action,Adventure,Comedy	0	8.1	nm0115669,nm0000036	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548
tt0018037	The Jazz Singer	Drama,Music,Musical	0	6.4	nm0189076	nm0710723,nm0169879,nm0418772
tt0018328	The Ring	Drama,Romance,Sport	0	6.1	nm0000033	nm0000033,nm0720904
tt0018455	Sunrise	Drama,Romance	0	8.1	nm0003638	nm0562346,nm0837183,nm0385012,nm0129721
tt0018773	The Circus	Comedy,Family,Romance	0	8.1	nm0000122	nm0000122
tt0019254	The Passion of Joan of Arc	Biography,Drama,History	0	8.1	nm0003433	nm0217865,nm0003433
tt0019421	Steamboat Bill, Jr.	Action,Comedy,Drama	0	7.8	nm0718469,nm0000036	nm0361882,nm0000036
tt0019729	The Broadway Melody	Drama,Musical,Romance	0	5.5	nm0064600	nm0332539,nm0396876,nm0322299,nm0049898
tt0019760	Man with a Movie Camera	Documentary	0	8.3	nm0895048	nm0895048
tt0019777	The Cocoanuts	Comedy,Musical,Romance	0	6.8	nm0282984,nm0763798	nm0442151,nm0753452
tt0020629	All Quiet on the Western Front	Drama,War	0	8.1	nm0587277	nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277
tt0020640	Animal Crackers	Comedy,Family,Musical	0	7.4	nm0373511	nm0442151,nm0753452,nm0436095,nm0748438
tt0020641	Anna Christie	Drama,Romance	0	6.5	nm0113284	nm0547966,nm0642156
tt0020697	The Blue Angel	Drama,Music,Romance	0	7.6	nm0903049	nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567
tt0020827	The Divorcee	Drama,Romance	0	6.7	nm0502752	nm0663624,nm0342417,nm0780803,nm0576046
tt0021079	Little Caesar	Action,Crime,Drama	0	7.2	nm0503777	nm0122446,nm0267020,nm0498133,nm0520501,nm0953123
tt0021746	Cimarron	Drama,Western	0	5.8	nm0749484	nm0272209,nm0261455,nm0765037
tt0021749	City Lights	Comedy,Drama,Romance	0	8.5	nm0000122	nm0000122,nm0139714,nm0188357
tt0021814	Dracula	Drama,Fantasy,Horror	0	7.4	nm0115218,nm0005713	nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574
tt0021884	Frankenstein	Drama,Horror,Sci-Fi	0	7.8	nm0001843	nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246
tt0021890	The Front Page	Comedy,Crime,Drama	0	6.7	nm0587277	nm0372942,nm0531269,nm0179993,nm0496468
tt0022100	M	Crime,Mystery,Thriller	0	8.3	nm0000485	nm0902376,nm0000485,nm0414825
tt0022111	The Maltese Falcon	Crime,Drama,Film-Noir	0	6.8	nm0215877	nm0358591,nm0298494,nm0391763,nm0399203
tt0022183	Mädchen in Uniform	Drama,Romance	0	7.5	nm0755985,nm0296193	nm0935475,nm0198887,nm0171372
tt0022286	The Public Enemy	Crime,Drama	0	7.6	nm0920074	nm0321891,nm0109148,nm0857710
tt0022599	À Nous la Liberté	Comedy,Musical	0	7.4	nm0163229	nm0163229
tt0022718	Boudu Saved from Drowning	Comedy	0	7.2	nm0719756	nm0268988,nm0719756,nm0884152
tt0022835	Dr. Jekyll and Mr. Hyde	Horror,Sci-Fi	0	7.6	nm0541149	nm0388755,nm0372698,nm0829044
tt0022879	A Farewell to Arms	Drama,Romance,War	0	6.4	nm0097648	nm0322227,nm0308177,nm0002133,nm0821716
tt0022913	Freaks	Drama,Horror	0	7.8	nm0115218	nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138
tt0022958	Grand Hotel	Drama,Romance	0	7.3	nm0332539	nm0062139,nm0237033,nm0049462,nm0941138,nm16524878,nm16524879,nm16524880
tt0023027	Horse Feathers	Comedy,Family,Musical	0	7.5	nm0572851	nm0436095,nm0748438,nm0673279,nm0426953,nm0790654
tt0023042	I Am a Fugitive from a Chain Gang	Crime,Drama,Film-Noir	0	8.2	nm0503777	nm0122859,nm0337914,nm0391763,nm0316807
tt0023245	The Mummy	Fantasy,Horror	0	7.0	nm0005713	nm0701233,nm0770337,nm0049721
tt0023427	Scarface	Action,Crime,Drama	0	7.7	nm0001328,nm0744514	nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646
tt0023563	The Testament of Dr. Mabuse	Crime,Mystery,Thriller	0	7.9	nm0000485	nm0415167,nm0000485,nm0829954,nm0902376
tt0023622	Trouble in Paradise	Comedy,Crime,Romance	0	7.9	nm0523932	nm0710723,nm0428177,nm0015801
tt0023753	Alice in Wonderland	Adventure,Family,Fantasy	0	6.3	nm0572851,nm0363414,nm0411208	nm0000581,nm0580017,nm0140902
tt0023948	Dinner at Eight	Drama	0	7.5	nm0002030	nm0547966,nm0542534,nm0442151,nm0272209,nm0829330,nm0576046
tt0023969	Duck Soup	Comedy,Musical	0	7.7	nm0564970	nm0436095,nm0748438,nm0790654,nm0674759
tt0024025	Flying Down to Rio	Comedy,Musical,Romance	0	6.6	nm0293260	nm0401738,nm0359748,nm0312510,nm0129669,nm0110607,nm0173532,nm0276284,nm0502071,nm0629240,nm0816201,nm0857710,nm1092329
tt0024034	42nd Street	Comedy,Drama,Musical	0	7.3	nm0045800	nm0416861,nm0786827,nm0740622,nm0093456
tt0024069	Gold Diggers of 1933	Comedy,Drama,Musical	0	7.7	nm0503777	nm0312510,nm0786827,nm0091200,nm0548993,nm0394479
tt0024184	The Invisible Man	Horror,Sci-Fi	0	7.6	nm0001843	nm0920229,nm0792670,nm0002545,nm0943804
tt0024216	King Kong	Adventure,Horror	0	7.9	nm0178260,nm0774325	nm0187256,nm0741656,nm0178260,nm0908624,nm0330390
tt0024264	Little Women	Drama,Family,Romance	0	7.2	nm0002030	nm0017301,nm0556945,nm0373511,nm0028636,nm0088670,nm0102818,nm0276040,nm0376179,nm0613848,nm0827693,nm0875746,nm0878605
tt0024601	Sons of the Desert	Comedy,Family	0	7.5	nm0782682	nm0186600,nm0001316,nm0059374,nm0153713,nm0166671,nm0491048,nm0730018,nm0782682,nm0874497,nm0919543
tt0024803	Zero for Conduct	Drama	0	7.2	nm0897118	nm0897118
tt0024844	L'Atalante	Comedy,Drama,Romance	0	7.7	nm0897118	nm0347447,nm0729960,nm0897118
tt0024852	March of the Wooden Soldiers	Comedy,Family,Fantasy	0	7.1	nm0576940,nm0736778	nm0124918,nm0342417,nm0152156,nm0491048
tt0024966	Chapayev	Biography,Drama,History	0	7.0	nm0890574,nm0890567	nm0298998,nm0298997,nm0890574,nm0890567
