tconst	primaryTitle	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers
tt0002130	Dante's Inferno	0	1911	71	Adventure,Drama,Fantasy	7.0	nm0078205,nm0655824,nm0209738	nm0019604
tt0002423	Passion	0	1919	113	Biography,Drama,Romance	6.6	nm0523932	nm0266183,nm0473134
tt0002844	Fantômas: In the Shadow of the Guillotine	0	1913	54	Crime,Drama	6.9	nm0275421	nm0019855,nm0275421,nm0816232
tt0003014	Ingeborg Holm	0	1913	96	Drama	7.0	nm0803705	nm0472236,nm0803705
tt0003037	Fantomas: The Man in Black	0	1913	61	Crime,Drama	6.9	nm0275421	nm0019855,nm0275421,nm0816232
tt0003165	Fantômas: The Dead Man Who Killed	0	1913	90	Crime,Drama,Mystery	6.9	nm0275421	nm0019855,nm0275421,nm0816232
tt0003419	The Student of Prague	0	1913	85	Drama,Fantasy,Horror	6.4	nm0263912,nm0753233	nm0263912,nm0210503
tt0003643	The Avenging Conscience: or 'Thou Shalt Not Kill'	0	1914	78	Crime,Drama,Horror	6.4	nm0000428	nm0000590,nm0000428
tt0003740	Cabiria	0	1914	148	Adventure,Drama,History	7.1	nm0665163	nm0195339,nm0515385,nm0665163,nm0758215
tt0003772	Cinderella	0	1914	52	Drama,Fantasy	6.0	nm0456804	nm0674518
tt0003930	Fantomas: The Mysterious Finger Print	0	1914	59	Crime,Drama	6.8	nm0275421	nm0019855,nm0275421,nm0816232
tt0003952	Fantômas: The False Magistrate	0	1914	70	Crime,Drama	6.7	nm0275421	nm0019855,nm0275421,nm0816232
tt0004026	The Golem	0	1914	60	Horror	6.7	nm0917467,nm0301961	nm0917467,nm0301961
tt0004181	Judith of Bethulia	0	1914	61	Drama	6.2	nm0000428	nm0017701,nm0000428,nm1106102,nm0940488
tt0004465	The Perils of Pauline	0	1914	199	Action,Adventure,Drama	6.3	nm0309163,nm0533289	nm0323766,nm0225458,nm0782707,nm0589616
tt0004635	The Squaw Man	0	1914	74	Action,Drama,Romance	5.6	nm0002177,nm0001124	nm0747409,nm0001124,nm0002177
tt0004707	Tillie's Punctured Romance	0	1914	82	Comedy	6.2	nm0784407,nm0071658	nm0215874,nm0404327,nm0784407,nm1100197,nm0808086
tt0004972	The Birth of a Nation	0	1915	195	Drama,War	6.1	nm0000428	nm0228746,nm0000428,nm0940488,nm0934306,nm16280870,nm16280871
tt0005060	Carmen	0	1915	59	Drama	6.3	nm0001124	nm0617737,nm0210352
tt0005078	The Cheat	0	1915	59	Drama,Romance	6.5	nm0001124	nm0877318,nm0534221
tt0005339	A Fool There Was	0	1915	67	Drama	5.7	nm0288616	nm0115063,nm0456017,nm0564946
tt0005916	After Death	0	1915	46	Drama,Horror	6.8	nm0061955	nm0061955,nm0877057
tt0005960	The Regeneration	0	1915	72	Biography,Crime,Drama	6.8	nm0909825	nm0452976,nm0909825,nm0361882,nm0352506
tt0006206	Les Vampires	0	1915	421	Action,Adventure,Crime	7.3	nm0275421	nm0275421
tt0006333	20,000 Leagues Under the Sea	0	1916	105	Action,Adventure,Sci-Fi	6.1	nm0665737	nm0894523,nm0665737
tt0006780	Hell's Hinges	0	1916	64	Romance,Western	6.7	nm0842521,nm0366586,nm0807742	nm0837989
tt0006864	Intolerance	0	1916	163	Drama,History	7.7	nm0000428	nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488
tt0006886	Judex	0	1916	300	Adventure,Crime	7.2	nm0275421	nm0077220,nm0275421
tt0008443	The Poor Little Rich Girl	0	1917	78	Comedy,Drama,Family	6.7	nm0869665	nm0309557,nm0547966
tt0008663	A Man There Was	0	1917	65	Drama,War	7.3	nm0803705	nm0406585,nm0596410,nm0803705
tt0008879	The Outlaw and His Wife	0	1918	72	Drama	7.2	nm0803705	nm0803705,nm0039377,nm2642082
tt0008891	The Blue Bird	0	1918	75	Family,Fantasy	6.9	nm0869665	nm0535508,nm0537510
tt0009150	Hearts of the World	0	1918	117	Drama,War	6.5	nm0000428	nm0000428
tt0009369	Mickey	0	1918	93	Comedy,Drama	6.1	nm0428059,nm0949648	nm0215874,nm0370271
tt0009652	Stella Maris	0	1918	84	Drama	6.9	nm0624714	nm0516810,nm0547966
tt0009878	Different from the Others	0	1919	50	Crime,Drama,History	7.0	nm0652650	nm0386589,nm0652650
tt0009892	Auction of Souls	0	1919	80	Drama,History,Romance	5.4	nm0002177	nm0546295,nm0309568,nm0152165
tt0009893	The Oyster Princess	0	1919	60	Comedy	7.2	nm0523932	nm0473134,nm0523932
tt0009937	Blind Husbands	0	1919	102	Drama,Romance	6.9	nm0002233	nm0002233,nm0239769
tt0009968	Broken Blossoms	0	1919	90	Drama,Romance	7.2	nm0000428	nm0121885,nm0000428
tt0010040	Daddy-Long-Legs	0	1919	85	Comedy,Drama	6.6	nm0624714	nm0916914,nm0426515
tt0010071	Don't Change Your Husband	0	1919	71	Comedy	6.5	nm0001124	nm0534221
tt0010247	Sir Arne's Treasure	0	1919	122	Drama,History	7.1	nm0830249	nm0481248,nm0596410,nm0830249
tt0010267	The Hoodlum	0	1919	78	Comedy	6.6	nm0291548	nm0513680,nm0566338
tt0010281	I Don't Want to Be a Man	0	1918	45	Comedy,Romance	6.8	nm0523932	nm0473134,nm0523932
tt0010307	J'accuse!	0	1919	166	Drama,Horror,War	7.7	nm0304098	nm0304098
tt0010323	The Cabinet of Dr. Caligari	0	1920	67	Horror,Mystery,Thriller	8.0	nm0927468	nm0562346,nm0417917
tt0010418	Male and Female	0	1919	116	Adventure,Drama	7.0	nm0001124	nm0534221,nm0057381
tt0010598	The President	0	1919	85	Drama	6.6	nm0003433	nm0003433,nm0291908
tt0010600	The Doll	0	1919	66	Comedy,Fantasy,Sci-Fi	7.4	nm0523932	nm0006782,nm0473134,nm0523932,nm0932559
tt0010726	The Spiders - Episode 1: The Golden Sea	0	1919	130	Adventure,Western	6.5	nm0000485	nm0000485
tt0010806	True Heart Susie	0	1919	87	Comedy,Drama,Romance	6.9	nm0000428	nm0294026
tt0010879	When the Clouds Roll by	0	1919	85	Action,Comedy,Romance	6.9	nm0281808	nm0001196,nm0281808,nm0313888
tt0011000	Leaves From Satan's Book	0	1920	167	Drama	6.6	nm0003433	nm0406094,nm0179740,nm0003433
tt0011130	Dr. Jekyll and Mr. Hyde	0	1920	69	Drama,Horror,Sci-Fi	6.9	nm0731910	nm0829044,nm0073238,nm0838370,nm0928492
tt0011157	Erotikon	0	1920	106	Comedy,Romance	6.4	nm0830249	nm0378772,nm0596410,nm0635245,nm0830249
tt0011221	Genuine: The Tragedy of a Vampire	0	1920	88	Fantasy,Horror,Romance	5.9	nm0927468	nm0562346
tt0011237	The Golem	0	1920	91	Fantasy,Horror	7.2	nm0917467,nm0091380	nm0917467,nm0301961
tt0011387	The Last of the Mohicans	0	1920	73	Action,Adventure,Drama	6.7	nm0113284,nm0869665	nm0178126,nm0227062
tt0011439	The Mark of Zorro	0	1920	79	Adventure,Romance,Western	7.0	nm0629243	nm0191547,nm0001196,nm1491939
tt0011565	The Penalty	0	1920	90	Crime,Drama,Horror	7.3	nm0941637	nm0606563,nm0448981,nm0518844
tt0011607	The Parson's Widow	0	1920	94	Comedy,Drama,Horror	7.1	nm0003433	nm0003433,nm0418114
tt0011652	The Saphead	0	1920	77	Comedy,Drama,Romance	6.1	nm0085133,nm0810367	nm0397167,nm0544579,nm0558923,nm0810367
tt0011723	The Spiders - Episode 2: The Diamond Ship	0	1920	104	Adventure	6.1	nm0000485	nm0000485
tt0011841	Way Down East	0	1920	145	Drama,Romance	7.3	nm0000428	nm0662461,nm0103755,nm0342604,nm0446189,nm0000428
tt0011865	Why Change Your Wife?	0	1920	90	Comedy,Drama	6.7	nm0001124	nm0697880,nm0210352,nm0184632
tt0011870	Within Our Gates	0	1920	79	Drama,Romance	6.4	nm0584778	nm0584778
tt0011904	The Ace of Hearts	0	1921	75	Crime,Drama,Mystery	6.8	nm0941637	nm0606563,nm0927851
tt0011909	The Affairs of Anatol	0	1921	117	Comedy,Drama	6.6	nm0001124	nm0774217,nm0534221
tt0011960	The Wildcat	0	1921	79	Comedy,Drama,Romance	6.8	nm0523932	nm0473134,nm0523932
tt0012027	Camille	0	1921	72	Drama,Romance	6.5	nm0806605	nm0241414,nm0558923
tt0012190	The Four Horsemen of the Apocalypse	0	1921	150	Drama,Romance,War	7.1	nm0002271	nm0087658,nm0558923
tt0012349	The Kid	0	1921	68	Comedy,Drama,Family	8.2	nm0000122	nm0000122
tt0012364	The Phantom Carriage	0	1921	107	Drama,Fantasy,Horror	8.0	nm0803705	nm0481248,nm0803705
tt0012494	Destiny	0	1921	114	Drama,Fantasy,Horror	7.6	nm0000485	nm0000485,nm0902376
tt0012532	Orphans of the Storm	0	1921	150	Drama,History,Romance	7.3	nm0000428	nm0257866,nm0180077,nm0000428
tt0012642	A Sailor-Made Man	0	1921	47	Action,Adventure,Comedy	6.8	nm0628345	nm0730018,nm0853130,nm0369841,nm0907778
tt0012651	The Haunted Castle	0	1921	69	Crime,Drama,Horror	6.1	nm0003638	nm0833695,nm0562346
tt0012675	The Sheik	0	1921	86	Adventure,Drama,Romance	6.2	nm0577654	nm0401423,nm0441601
tt0012752	The Three Musketeers	0	1921	119	Action,Adventure,Family	6.9	nm0629243	nm0241416,nm0461241,nm0940689,nm0001196
tt0012763	Tol'able David	0	1921	99	Drama	7.1	nm0454771	nm0378947,nm0332539,nm0454771
tt0012938	Beyond the Rocks	0	1922	80	Drama,Romance	6.7	nm0939992	nm0323325,nm0192325
tt0012952	Blood and Sand	0	1922	108	Drama,Romance,Sport	6.3	nm0629243,nm0002188	nm0087658,nm0193704,nm0558923
tt0013075	Dr. Jack	0	1922	60	Comedy,Romance	7.1	nm0628345,nm0853130	nm0730018,nm0853130,nm0369841,nm0907778,nm0188274
tt0013086	Dr. Mabuse, the Gambler	0	1922	242	Crime,Mystery,Thriller	7.8	nm0000485	nm0415167,nm0902376,nm0000485
tt0013140	Foolish Wives	0	1922	117	Drama,Thriller	7.0	nm0002233	nm0002233,nm0014703,nm0031033
tt0013201	Grandma's Boy	0	1922	60	Comedy,Family	7.0	nm0628345	nm0730018,nm0853130,nm0369841,nm0907778,nm0188274,nm0516001
tt0013257	Häxan	0	1922	91	Documentary,Fantasy,Horror	7.6	nm0159725	nm0159725
tt0013427	Nanook of the North	0	1922	78	Documentary	7.6	nm0280904	nm0280878,nm0280904
tt0013442	Nosferatu: A Symphony of Horror	0	1922	94	Fantasy,Horror	7.8	nm0003638	nm0831290,nm0301961
tt0013496	Phantom	0	1922	125	Drama,Romance	6.7	nm0003638	nm0369458,nm0902376,nm0903145
tt0013556	Robin Hood	0	1922	143	Adventure,Family,Romance	7.0	nm0245385	nm0001196,nm0202617,nm0245385,nm0461241,nm0940689
tt0013571	Salomé	0	1922	72	Biography,Drama,History	6.6	nm0117065,nm0623417	nm0928492,nm0623417,nm0708118
tt0013579	Warning Shadows	0	1923	90	Drama,Fantasy,Horror	6.6	nm0733208	nm0336057,nm0733208,nm0774012
tt0013750	When Knighthood Was in Flower	0	1922	120	Drama,Romance	6.5	nm0897085	nm0715564,nm0538186,nm0495461
tt0013933	The Faithful Heart	0	1923	87	Drama,Romance	7.4	nm0258477	nm0258477,nm0258506
tt0014029	The Extra Girl	0	1923	68	Comedy,Romance	6.7	nm0428059	nm0566338,nm0784407
tt0014109	The Saga of Gösta Berling	0	1924	183	Drama,Romance	7.0	nm0830249	nm0405147,nm0481248,nm0830249
